DisplayName,Description,MailNickname,MemberShipRule
xps139340,XPS 13 9340,xps139340,XPS 13 9340
xps139360,XPS 13 9360,xps139360,XPS 13 9360
xps139370,XPS 13 9370,xps139370,XPS 13 9370
xps139380,XPS 13 9380,xps139380,XPS 13 9380
xps149440,XPS 14 9440,xps149440,XPS 14 9440
xps159500,XPS 15 9500,xps159500,XPS 15 9500
xps159510,XPS 15 9510,xps159510,XPS 15 9510
xps159520,XPS 15 9520,xps159520,XPS 15 9520
xps159530,XPS 15 9530,xps159530,XPS 15 9530
xps159575,XPS 15 9575,xps159575,XPS 15 9575
xps179710,XPS 17 9710,xps179710,XPS 17 9710
xps8930,XPS 8930,xps8930,XPS 8930
xps9320,XPS 9320,xps9320,XPS 9320
